"Date	Ref.	Potential Payout	Contract	Purchase Price	Sale Date	Sale Price	Profit/Loss (USD)	Details"
"2017-03-16 00:30:56 GMT	26254596488	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:31:13 GMT	1.94	0.94	View"
"			View					"
"2017-03-16 00:30:38 GMT	26254588468	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-16 00:30:55 GMT	3.88	1.88	View"
"			View					"
"2017-03-16 00:30:20 GMT	26254580928	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:30:36 GMT	0	-1	View"
"			View					"
"2017-03-16 00:30:02 GMT	26254571728	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:30:19 GMT	1.94	0.94	View"
"			View					"
"2017-03-16 00:29:44 GMT	26254562448	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:30:00 GMT	1.94	0.94	View"
"			View					"
"2017-03-16 00:29:26 GMT	26254554968	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-16 00:29:43 GMT	3.88	1.88	View"
"			View					"
"2017-03-16 00:29:08 GMT	26254547808	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:29:24 GMT	0	-1	View"
"			View					"
"2017-03-16 00:28:50 GMT	26254539548	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:29:07 GMT	1.94	0.94	View"
"			View					"
"2017-03-16 00:28:28 GMT	26254531048	7.77	Win payout if Volatility 50 Index is strictly higher than entry spot at 20 seconds after contract start time.	4	2017-03-16 00:28:49 GMT	7.77	3.77	View"
"			View					"
